;ID;CLUSTER
212;Aude | 1975;2
213;Aveyron | 1975;2
214;Bouches-du-Rhône | 1975;1
215;Calvados | 1975;2
216;Cantal | 1975;2
217;Charente | 1975;2
218;Charente-Maritime | 1975;2
219;Cher | 1975;2
220;Corrèze | 1975;2
221;Côte-d'Or | 1975;2
222;Côtes-d'Armor | 1975;2
223;Creuse | 1975;2
224;Dordogne | 1975;2
225;Doubs | 1975;2
226;Drôme | 1975;2
227;Eure | 1975;2
228;Eure-et-Loir | 1975;2
229;Finistère | 1975;1
230;Corse-du-Sud | 1975;2
231;Haute-Corse | 1975;2
232;Gard | 1975;2
233;Haute-Garonne | 1975;1
234;Gers | 1975;2
235;Gironde | 1975;1
236;Hérault | 1975;2
237;Ille-et-Vilaine | 1975;1
238;Indre | 1975;2
239;Indre-et-Loire | 1975;2
240;Isère | 1975;1
241;Jura | 1975;2
242;Landes | 1975;2
243;Loir-et-Cher | 1975;2
244;Loire | 1975;1
245;Haute-Loire | 1975;2
246;Loire-Atlantique | 1975;1
247;Loiret | 1975;2
248;Lot | 1975;2
249;Lot-et-Garonne | 1975;2
250;Lozère | 1975;2
251;Maine-et-Loire | 1975;2
252;Manche | 1975;2
253;Marne | 1975;2
254;Haute-Marne | 1975;2
255;Mayenne | 1975;2
256;Meurthe-et-Moselle | 1975;1
257;Meuse | 1975;2
258;Morbihan | 1975;2
259;Moselle | 1975;1
260;Nièvre | 1975;2
261;Nord | 1975;0
262;Oise | 1975;2
263;Orne | 1975;2
264;Pas-de-Calais | 1975;1
265;Puy-de-Dôme | 1975;2
266;Pyrénées-Atlantiques | 1975;2
267;Hautes-Pyrénées | 1975;2
268;Pyrénées-Orientales | 1975;2
269;Bas-Rhin | 1975;1
270;Haut-Rhin | 1975;2
271;Rhône | 1975;1
272;Haute-Saône | 1975;2
273;Saône-et-Loire | 1975;2
274;Sarthe | 1975;2
275;Savoie | 1975;2
276;Haute-Savoie | 1975;2
277;Paris | 1975;0
278;Seine-Maritime | 1975;1
279;Seine-et-Marne | 1975;2
280;Yvelines | 1975;1
281;Deux-Sèvres | 1975;2
282;Somme | 1975;2
283;Tarn | 1975;2
284;Tarn-et-Garonne | 1975;2
285;Var | 1975;2
286;Vaucluse | 1975;2
287;Vendée | 1975;2
288;Vienne | 1975;2
289;Haute-Vienne | 1975;2
290;Vosges | 1975;2
291;Yonne | 1975;2
292;Territoire de Belfort | 1975;2
293;Essonne | 1975;1
294;Hauts-de-Seine | 1975;1
295;Seine-Saint-Denis | 1975;1
296;Val-de-Marne | 1975;1
297;Val-d'Oise | 1975;1
298;Guadeloupe | 1975;2
299;Martinique | 1975;2
300;Guyane | 1975;2
301;La Réunion | 1975;2
302;faute de frappe | 1975;1
303;Ain | 2016;2
304;Aisne | 2016;2
305;Allier | 2016;2
306;Alpes-de-Haute-Provence | 2016;2
307;Hautes-Alpes | 2016;2
308;Alpes-Maritimes | 2016;1
309;Ardèche | 2016;2
310;Ardennes | 2016;2
311;Ariège | 2016;2
312;Aube | 2016;2
313;Aude | 2016;2
314;Aveyron | 2016;2
315;Bouches-du-Rhône | 2016;0
316;Calvados | 2016;2
317;Cantal | 2016;2
318;Charente | 2016;2
319;Charente-Maritime | 2016;2
320;Cher | 2016;2
321;Corrèze | 2016;2
322;Côte-d'Or | 2016;2
323;Côtes-d'Armor | 2016;2
324;Creuse | 2016;2
325;Dordogne | 2016;2
326;Doubs | 2016;2
327;Drôme | 2016;2
328;Eure | 2016;2
329;Eure-et-Loir | 2016;2
330;Finistère | 2016;1
331;Corse-du-Sud | 2016;2
332;Haute-Corse | 2016;2
333;Gard | 2016;1
334;Haute-Garonne | 2016;1
335;Gers | 2016;2
336;Gironde | 2016;1
337;Hérault | 2016;1
338;Ille-et-Vilaine | 2016;1
339;Indre | 2016;2
340;Indre-et-Loire | 2016;2
341;Isère | 2016;1
342;Jura | 2016;2
343;Landes | 2016;2
344;Loir-et-Cher | 2016;2
345;Loire | 2016;1
346;Haute-Loire | 2016;2
347;Loire-Atlantique | 2016;1
348;Loiret | 2016;2
349;Lot | 2016;2
350;Lot-et-Garonne | 2016;2
351;Lozère | 2016;2
352;Maine-et-Loire | 2016;1
353;Manche | 2016;2
354;Marne | 2016;2
355;Haute-Marne | 2016;2
356;Mayenne | 2016;2
357;Meurthe-et-Moselle | 2016;1
358;Meuse | 2016;2
359;Morbihan | 2016;1
360;Moselle | 2016;1
361;Nièvre | 2016;2
362;Nord | 2016;0
363;Oise | 2016;1
364;Orne | 2016;2
365;Pas-de-Calais | 2016;1
366;Puy-de-Dôme | 2016;2
367;Pyrénées-Atlantiques | 2016;2
368;Hautes-Pyrénées | 2016;2
369;Pyrénées-Orientales | 2016;2
370;Bas-Rhin | 2016;1
371;Haut-Rhin | 2016;1
372;Rhône | 2016;0
373;Haute-Saône | 2016;2
374;Saône-et-Loire | 2016;2
375;Sarthe | 2016;2
376;Savoie | 2016;2
377;Haute-Savoie | 2016;1
378;Paris | 2016;0
379;Seine-Maritime | 2016;1
380;Seine-et-Marne | 2016;1
381;Yvelines | 2016;1
382;Deux-Sèvres | 2016;2
383;Somme | 2016;2
384;Tarn | 2016;2
385;Tarn-et-Garonne | 2016;2
386;Var | 2016;1
387;Vaucluse | 2016;2
388;Vendée | 2016;2
389;Vienne | 2016;2
390;Haute-Vienne | 2016;2
391;Vosges | 2016;2
392;Yonne | 2016;2
393;Territoire de Belfort | 2016;2
394;Essonne | 2016;1
395;Hauts-de-Seine | 2016;1
396;Seine-Saint-Denis | 2016;1
397;Val-de-Marne | 2016;1
398;Val-d'Oise | 2016;1
399;Guadeloupe | 2016;2
400;Martinique | 2016;2
401;Guyane | 2016;2
402;La Réunion | 2016;1
403;faute de frappe | 2016;1
404;Ain | 1990;2
405;Aisne | 1990;2
406;Allier | 1990;2
407;Alpes-de-Haute-Provence | 1990;2
408;Hautes-Alpes | 1990;2
409;Alpes-Maritimes | 1990;1
410;Ardèche | 1990;2
411;Ardennes | 1990;2
412;Ariège | 1990;2
413;Aube | 1990;2
414;Aude | 1990;2
415;Aveyron | 1990;2
416;Bouches-du-Rhône | 1990;0
417;Calvados | 1990;2
418;Cantal | 1990;2
