;ID;CLUSTER
212;Bouches-du-Rhône | 1975;4
213;Calvados | 1975;2
214;Cantal | 1975;0
215;Charente | 1975;0
216;Charente-Maritime | 1975;2
217;Cher | 1975;0
218;Corrèze | 1975;0
219;Côte-d'Or | 1975;0
220;Côtes-d'Armor | 1975;2
221;Creuse | 1975;0
222;Dordogne | 1975;0
223;Doubs | 1975;2
224;Drôme | 1975;0
225;Eure | 1975;0
226;Eure-et-Loir | 1975;0
227;Finistère | 1975;4
228;Gard | 1975;0
229;Haute-Garonne | 1975;2
230;Gers | 1975;0
231;Gironde | 1975;4
232;Hérault | 1975;2
233;Ille-et-Vilaine | 1975;2
234;Indre | 1975;0
235;Indre-et-Loire | 1975;0
236;Isère | 1975;2
237;Jura | 1975;0
238;Landes | 1975;0
239;Loir-et-Cher | 1975;0
240;Loire | 1975;2
241;Haute-Loire | 1975;0
242;Loire-Atlantique | 1975;2
243;Loiret | 1975;2
244;Lot | 1975;0
245;Lot-et-Garonne | 1975;0
246;Lozère | 1975;0
247;Maine-et-Loire | 1975;2
248;Manche | 1975;2
249;Marne | 1975;2
250;Haute-Marne | 1975;0
251;Mayenne | 1975;0
252;Meurthe-et-Moselle | 1975;2
253;Meuse | 1975;0
254;Morbihan | 1975;2
255;Moselle | 1975;4
256;Nièvre | 1975;0
257;Nord | 1975;3
258;Oise | 1975;2
259;Orne | 1975;0
260;Pas-de-Calais | 1975;4
261;Puy-de-Dôme | 1975;2
262;Pyrénées-Atlantiques | 1975;2
263;Hautes-Pyrénées | 1975;0
264;Pyrénées-Orientales | 1975;0
265;Bas-Rhin | 1975;2
266;Haut-Rhin | 1975;2
267;Rhône | 1975;4
268;Haute-Saône | 1975;0
269;Saône-et-Loire | 1975;2
270;Sarthe | 1975;2
271;Savoie | 1975;0
272;Haute-Savoie | 1975;0
273;Paris | 1975;3
274;Seine-Maritime | 1975;4
275;Seine-et-Marne | 1975;2
276;Yvelines | 1975;2
277;Deux-Sèvres | 1975;0
278;Somme | 1975;2
279;Tarn | 1975;0
280;Tarn-et-Garonne | 1975;0
281;Var | 1975;0
282;Vaucluse | 1975;0
283;Vendée | 1975;2
284;Vienne | 1975;0
285;Haute-Vienne | 1975;0
286;Vosges | 1975;2
287;Yonne | 1975;0
288;Territoire de Belfort | 1975;0
289;Essonne | 1975;0
290;Hauts-de-Seine | 1975;4
291;Seine-Saint-Denis | 1975;2
292;Val-de-Marne | 1975;2
293;Val-d'Oise | 1975;0
294;Guadeloupe | 1975;0
295;Martinique | 1975;0
296;Guyane | 1975;0
297;La Réunion | 1975;0
298;faute de frappe | 1975;1
299;Ain | 2016;0
300;Aisne | 2016;2
301;Allier | 2016;0
302;Alpes-de-Haute-Provence | 2016;0
303;Hautes-Alpes | 2016;0
304;Alpes-Maritimes | 2016;2
305;Ardèche | 2016;0
306;Ardennes | 2016;0
307;Ariège | 2016;0
308;Aube | 2016;0
309;Aude | 2016;0
310;Aveyron | 2016;0
