;index;ANS;REG_TRA_18;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;Agriculteurs;Artisans-commerçants-chefs d'entreprise;Cadres et professions intellectuelles supérieures;Professions intermédiaires;Employés;Ouvriers;Anciens actifs_x;Inactifs et chômeurs n'ayant jamais travaillé;Agriculture;Industrie;BTP;Tertiaire;Inactifs ou chômeurs;Actifs ayant un emploi;Chômeurs;Étudiants ou élèves;Militaires du contingent;Anciens actifs_y;Autres inactifs;Personnes de moins de 15 ans (17 ans pour le RP 1975) ou étudiants - élèves;Aucun diplôme ou au mieux BEPC - brevet des collèges ou DNB;CAP - BEP;Baccalauréat (général - techno - pro);Diplôme d'études supérieures;Autres nationalités;Français de naissance;Français par acquisition;Espagnols;Italiens;Portugais;Autres nationalités d'Europe;Autres nationalités d'Afrique;Algériens;Marocains;Tunisiens;Turcs;Marié;Non marié;Homme;Femme;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;REGION
10;10;1968;84;;;;;;;;;;;;;;;3220.0;16816.0;26300.0;40524.0;52348.0;55656.0;55492.0;65640.0;55104.0;55100.0;54776.0;51748.0;49088.0;43696.0;50596.0;49388.0;49300.0;49476.0;49804.0;50736.0;51872.0;52692.0;54620.0;55984.0;54704.0;54528.0;54760.0;54472.0;53788.0;52664.0;53312.0;54092.0;56192.0;55108.0;38960.0;29076.0;26284.0;24228.0;25988.0;44964.0;45232.0;42392.0;39048.0;39500.0;38272.0;36900.0;32068.0;29744.0;28340.0;26168.0;23168.0;14920.0;12156.0;10248.0;8796.0;7064.0;6076.0;5320.0;4016.0;3392.0;3168.0;2732.0;2412.0;1900.0;1600.0;1188.0;1128.0;872.0;708.0;660.0;444.0;336.0;316.0;236.0;128.0;128.0;100.0;52.0;72.0;48.0;40.0;12.0;16.0;8.0;60.0;316884.0;251708.0;103952.0;288780.0;451048.0;931908.0;;;364324.0;805580.0;244536.0;929840.0;;2344280.0;;;;;;3220.0;1761484.0;312976.0;162616.0;103984.0;1948.0;2105456.0;74148.0;33448.0;47548.0;19900.0;13328.0;528.0;40240.0;3036.0;3896.0;804.0;1530316.0;813964.0;1545032.0;799248.0;;;;;;;;;;;;;;;;;;;;;;;Auvergne-Rhône-Alpes
11;11;1968;93;;;;;;;;;;;;;;;1540.0;7024.0;11200.0;16180.0;21360.0;23108.0;24532.0;29684.0;25952.0;27312.0;28388.0;27488.0;25564.0;23752.0;25012.0;24960.0;24684.0;24744.0;25912.0;26508.0;26668.0;27976.0;28584.0;29116.0;27724.0;27680.0;28328.0;28408.0;28888.0;28024.0;27964.0;27532.0;30136.0;31000.0;22380.0;16840.0;15168.0;14420.0;16936.0;24048.0;24160.0;21996.0;20368.0;20028.0;18532.0;18808.0;16088.0;14888.0;13652.0;12232.0;11188.0;7480.0;6020.0;5068.0;3924.0;3340.0;2760.0;2248.0;1892.0;1660.0;1444.0;1232.0;1012.0;896.0;628.0;632.0;504.0;392.0;296.0;212.0;204.0;184.0;168.0;80.0;68.0;36.0;52.0;24.0;28.0;20.0;16.0;16.0;;8.0;;78892.0;156420.0;72332.0;148584.0;310168.0;420812.0;;;116220.0;241108.0;166312.0;663568.0;;1187208.0;;;;;;1540.0;873976.0;153976.0;93664.0;64052.0;2152.0;991284.0;87756.0;24512.0;32488.0;2936.0;9368.0;788.0;29140.0;2764.0;3708.0;312.0;794996.0;392212.0;826612.0;360596.0;;;;;;;;;;;;;;;;;;;;;;;Provence-Alpes-Côte d'Azur
12;12;1968;94;;;;;;;;;;;;;;;60.0;180.0;400.0;664.0;900.0;860.0;964.0;1352.0;1136.0;1508.0;1680.0;1700.0;1604.0;1804.0;1852.0;1520.0;1784.0;1672.0;1500.0;2060.0;1744.0;1400.0;1484.0;1840.0;1480.0;1700.0;1384.0;1684.0;1564.0;1480.0;1120.0;1208.0;1564.0;1084.0;1024.0;768.0;760.0;724.0;580.0;1100.0;1320.0;1144.0;1044.0;844.0;724.0;664.0;1020.0;420.0;760.0;600.0;320.0;404.0;240.0;200.0;260.0;240.0;180.0;160.0;60.0;140.0;140.0;60.0;40.0;80.0;40.0;40.0;20.0;20.0;20.0;;20.0;40.0;20.0;;;;;;;;;;;;;8712.0;9004.0;2660.0;5504.0;14436.0;21860.0;;;15736.0;4180.0;11400.0;30860.0;;62176.0;;;;;;60.0;52828.0;2828.0;4556.0;1904.0;40.0;49128.0;1904.0;720.0;2404.0;460.0;2160.0;20.0;380.0;4740.0;200.0;20.0;36652.0;25524.0;50756.0;11420.0;;;;;;;;;;;;;;;;;;;;;;;Corse
13;13;1968;FF;820112.0;821872.0;834132.0;854064.0;856696.0;830700.0;835588.0;833652.0;835800.0;830936.0;825796.0;822536.0;825184.0;827076.0;768684.0;636360.0;552196.0;472216.0;380148.0;374868.0;384544.0;263008.0;188956.0;177172.0;174104.0;163288.0;151600.0;152204.0;176272.0;180124.0;184304.0;190704.0;194736.0;203704.0;204600.0;211444.0;215532.0;217428.0;206380.0;207628.0;207192.0;205220.0;206036.0;202132.0;200216.0;200120.0;207724.0;213652.0;151524.0;118660.0;109852.0;104508.0;115300.0;193852.0;199460.0;222640.0;219700.0;232988.0;238592.0;250616.0;271496.0;285908.0;295252.0;305624.0;314636.0;385244.0;395028.0;380772.0;368876.0;352480.0;344900.0;329780.0;294616.0;284324.0;273180.0;247528.0;235928.0;215380.0;209136.0;190520.0;174524.0;150544.0;135632.0;119216.0;100832.0;85472.0;72104.0;55808.0;44680.0;35776.0;27952.0;20016.0;14628.0;11028.0;7160.0;4900.0;3032.0;1944.0;2884.0;8.0;412.0;13128.0;37300.0;138280.0;266196.0;4950396.0;24329352.0;284.0;19956.0;5964.0;16168.0;29692700.0;42372.0;436124.0;3030092.0;241972.0;4950396.0;21034116.0;14839432.0;13421964.0;766700.0;487484.0;219492.0;44052.0;27617388.0;720584.0;341976.0;329840.0;128824.0;238304.0;15508.0;231628.0;31024.0;31912.0;4032.0;9997236.0;19737836.0;11191036.0;18544036.0;;;;;;;;;;;;;;;;;;;;;;;faute de frappe
14;0;1982;11;;;;;;;;;;;;;;;284.0;1672.0;10536.0;22616.0;42460.0;56928.0;76176.0;99120.0;112088.0;124244.0;131544.0;136856.0;139616.0;140716.0;141484.0;144120.0;143380.0;150232.0;153788.0;156340.0;158640.0;150948.0;118916.0;115280.0;113196.0;107128.0;97232.0;96280.0;103892.0;97368.0;99400.0;100984.0;97824.0;100244.0;99168.0;101272.0;99160.0;98268.0;92208.0;87152.0;87304.0;80660.0;75748.0;68384.0;60716.0;55200.0;38128.0;31064.0;19712.0;12724.0;10672.0;5020.0;3896.0;5392.0;4456.0;3708.0;3220.0;2796.0;2524.0;2088.0;1952.0;1564.0;1484.0;1208.0;1128.0;1024.0;860.0;688.0;480.0;368.0;340.0;264.0;272.0;232.0;220.0;144.0;96.0;32.0;52.0;36.0;36.0;16.0;12.0;8.0;8.0;17232.0;299820.0;731624.0;999876.0;1503296.0;1152892.0;;;29200.0;1128000.0;312532.0;3235008.0;;4704740.0;;;;;;284.0;2418556.0;878516.0;628900.0;778484.0;42460.0;3978380.0;165100.0;44124.0;31536.0;172892.0;50640.0;34204.0;104420.0;48648.0;25260.0;7076.0;3108732.0;1596008.0;2687844.0;2016896.0;36.0;8.0;;;;;;;;;;;;;;;;;;;;;Île-de-France
15;1;1982;24;;;;;;;;;;;;;;;164.0;1140.0;4860.0;8180.0;11724.0;13232.0;15836.0;21096.0;22256.0;23124.0;24624.0;26052.0;25744.0;25928.0;26040.0;27372.0;27864.0;27964.0;28616.0;28400.0;28960.0;27752.0;21384.0;19936.0;19884.0;18240.0;16700.0;16004.0;19332.0;18124.0;18864.0;18892.0;19044.0;19224.0;18896.0;18948.0;18432.0;18908.0;18412.0;17556.0;17184.0;16696.0;15028.0;13976.0;13376.0;12188.0;8960.0;7048.0;3876.0;2376.0;1960.0;784.0;616.0;1060.0;892.0;840.0;568.0;568.0;372.0;348.0;360.0;272.0;228.0;180.0;168.0;180.0;100.0;116.0;100.0;48.0;60.0;80.0;52.0;76.0;32.0;36.0;20.0;16.0;8.0;8.0;;8.0;4.0;;;78628.0;77428.0;56572.0;139360.0;215476.0;337112.0;;;97940.0;255240.0;78744.0;472652.0;;904576.0;;;;;;164.0;531820.0;210212.0;87100.0;75280.0;1728.0;850684.0;12892.0;3080.0;1204.0;22032.0;2484.0;732.0;3076.0;4200.0;964.0;1500.0;653148.0;251428.0;534804.0;369772.0;;;;;;;;;;;;;;;;;;;;;;;Centre-Val de Loire
16;2;1982;27;;;;;;;;;;;;;;;100.0;808.0;4692.0;8540.0;13172.0;14644.0;18456.0;24484.0;26024.0;28152.0;28316.0;29916.0;29980.0;30464.0;30484.0;30224.0;31160.0;32040.0;32776.0;33316.0;32968.0;32292.0;24480.0;23048.0;22196.0;21600.0;19612.0;19388.0;21988.0;21384.0;21584.0;21712.0;20880.0;21728.0;21684.0;22044.0;22004.0;21792.0;20996.0;20364.0;19828.0;18120.0;16528.0;15284.0;14352.0;13092.0;9040.0;7164.0;4160.0;2604.0;2108.0;936.0;692.0;1372.0;1252.0;1008.0;752.0;684.0;544.0;444.0;420.0;352.0;244.0;284.0;204.0;224.0;140.0;128.0;72.0;88.0;76.0;76.0;84.0;68.0;72.0;48.0;20.0;12.0;8.0;;;;;4.0;;91704.0;89336.0;60548.0;168468.0;231956.0;392068.0;;;105040.0;329776.0;78192.0;521072.0;;1034080.0;;;;;;100.0;584664.0;247560.0;105284.0;96472.0;1008.0;956976.0;20768.0;3832.0;6580.0;19316.0;5096.0;384.0;8136.0;7324.0;1316.0;3344.0;732936.0;301144.0;634852.0;399228.0;;;;;;;;;;;;;;;;;;;;;;;Bourgogne-Franche-Comté
17;3;1982;28;;;;;;;;;;;;;;;112.0;992.0;5948.0;10872.0;15656.0;17468.0;21980.0;28540.0;31916.0;33108.0;34544.0;35428.0;36676.0;36704.0;35552.0;36228.0;36256.0;37064.0;38436.0;37500.0;37192.0;36720.0;26644.0;24876.0;24904.0;22144.0;21368.0;20672.0;24072.0;23680.0;24040.0;24240.0;24120.0;25332.0;24152.0;25160.0;24676.0;24552.0;22952.0;22388.0;22268.0;21064.0;19608.0;17656.0;16136.0;14640.0;11108.0;9008.0;5064.0;3160.0;2680.0;1312.0;1104.0;1640.0;1472.0;1304.0;1088.0;892.0;704.0;668.0;560.0;404.0;404.0;316.0;248.0;276.0;216.0;136.0;124.0;52.0;80.0;68.0;60.0;48.0;40.0;28.0;16.0;16.0;;4.0;8.0;;4.0;4.0;4.0;118244.0;99196.0;68156.0;184980.0;270892.0;449088.0;;;138292.0;333956.0;98704.0;619604.0;;1190556.0;;;;;;112.0;715296.0;267744.0;103100.0;104304.0;808.0;1154444.0;10596.0;1120.0;1392.0;7260.0;2448.0;2404.0;4888.0;2896.0;904.0;1396.0;860072.0;330484.0;709440.0;481116.0;;;;;;;;;;;;;;;;;;;;;;;Normandie
18;4;1982;32;;;;;;;;;;;;;;;108.0;744.0;6656.0;14684.0;26644.0;31500.0;40508.0;52804.0;57408.0;60440.0;63136.0;63156.0;64688.0;64388.0;64352.0;64712.0;65392.0;65620.0;65940.0;64692.0;64600.0;64440.0;45756.0;42812.0;39860.0;37176.0;29664.0;34964.0;40040.0;39536.0;39908.0;39064.0;38888.0;39756.0;38316.0;40100.0;39696.0;39440.0;36132.0;35052.0;33712.0;29112.0;26696.0;24444.0;22100.0;19968.0;13516.0;10792.0;6148.0;3000.0;2356.0;1116.0;984.0;1576.0;1512.0;1268.0;1040.0;860.0;776.0;672.0;560.0;476.0;364.0;332.0;248.0;284.0;216.0;176.0;120.0;136.0;116.0;120.0;104.0;104.0;88.0;48.0;20.0;36.0;4.0;8.0;;;4.0;4.0;;94292.0;152576.0;125240.0;333464.0;446500.0;815916.0;;;125168.0;662756.0;146408.0;1033656.0;;1967988.0;;;;;;108.0;1147372.0;441140.0;198244.0;181124.0;1776.0;1847360.0;39692.0;4036.0;8776.0;20584.0;8792.0;2024.0;17276.0;14880.0;1732.0;1060.0;1452296.0;515692.0;1231084.0;736904.0;;;;;;;;;;;;;;;;;;;;;;;Hauts-de-France
19;5;1982;44;;;;;;;;;;;;;;;432.0;2216.0;11752.0;20976.0;30456.0;33668.0;42932.0;53780.0;55960.0;59024.0;59956.0;61524.0;61164.0;62708.0;60988.0;62216.0;61116.0;62528.0;63364.0;61412.0;61228.0;58864.0;41756.0;40352.0;40732.0;40984.0;38852.0;36148.0;42808.0;41140.0;41024.0;40332.0;39636.0;41588.0;40624.0;41092.0;40288.0;39392.0;36252.0;34716.0;33480.0;29724.0;25776.0;23148.0;21316.0;18720.0;12444.0;9824.0;5908.0;2972.0;2392.0;1408.0;1244.0;1816.0;1396.0;1376.0;1000.0;944.0;676.0;632.0;532.0;516.0;400.0;316.0;220.0;296.0;148.0;160.0;104.0;72.0;52.0;112.0;68.0;56.0;48.0;32.0;44.0;24.0;8.0;8.0;4.0;;4.0;;;102220.0;129288.0;134572.0;344116.0;478520.0;776688.0;;;125784.0;642708.0;151392.0;1045520.0;;1965404.0;;;;;;432.0;1039644.0;519864.0;211220.0;194244.0;3076.0;1788324.0;52124.0;9244.0;24508.0;26096.0;11876.0;1868.0;24976.0;11860.0;2616.0;8836.0;1372952.0;592452.0;1231984.0;733420.0;;4.0;;;;;;;;;;;;;;;;;;;;;Grand Est
